S_su;S_aa;S_fa;S_va;S_bu;S_pro;S_ac;S_h2;S_ch4;S_IC;S_IN;S_I;X_xc;X_ch;X_pr;X_li;X_su;X_aa;X_fa;X_c4;X_pro;X_ac;X_h2;X_I;S_cation;S_anion;pH;S_va_ion;S_bu_ion;S_pro_ion;S_ac_ion;S_hco3_ion;S_co2;S_nh3;S_nh4_ion;S_gas_h2;S_gas_ch4;S_gas_co2;q_ch4;V_ch4_cumul
0.027966966920823816;0.000953448219574268;0.009780397482714425;0.0027825065101123496;0.005192818513790863;0.01574579024214134;0.03291415636565271;1.5719658498416348e-07;0.044914939154579676;0.0972823870203073;0.0917213409466312;0.4246267806337258;0.051964483168824106;1.1726295267617903;0.3544307488167411;0.21835185320598013;0.38257843501447897;0.8980957091151027;0.33037509080970406;0.33157099086297476;0.1067662141311741;0.6877321399001849;0.29135110175153056;18.017569502099345;0.0026978849073003497;0.005708868099881018;7.206440812427314;0.0027700314145263413;0.005171577159813998;0.015671884122723384;0.032796831227967754;0.08640268852478662;0.010879698495520673;0.001609379169912676;0.09011196177671853;7.41059668168368e-06;1.3893960062664168;0.015595953738483919;0.0;0.014050883661064828
0.027772043710355347;0.0009499806222205138;0.00973615573786644;0.0027705967964012177;0.005167920766811507;0.015636714021395267;0.03267749041794629;1.5634366902168905e-07;0.044856847158813884;0.09730380436430262;0.09172589090215667;0.4247078344941154;0.051784950561839314;1.1666996445935145;0.35311879668765983;0.21814033535446564;0.3831296384051541;0.8980268152072347;0.33033483808902064;0.3315883780875557;0.10681896689131601;0.6878579605022566;0.29143024048994864;18.017731609820125;0.0026978849073003497;0.005708868099881018;7.206066959955821;0.0027581644473137473;0.00514676312692672;0.015563256963807707;0.03256090893918112;0.08641338788867062;0.010890416475632006;0.0016080984143586564;0.09011779248779801;7.3688292004391244e-06;1.3874561284455376;0.015627290978021294;0.0;0.014050883661064828
0.027578918630354308;0.0009465262339087583;0.009693543041435467;0.002758747063164179;0.005143164035688099;0.01552870932844961;0.032444492860871754;1.5549772117261587e-07;0.0448073649308698;0.09732845949952278;0.09173044159666471;0.42478861013074243;0.05160834888047272;1.160800011941485;0.35181174436641616;0.21792842390637776;0.3836774646990983;0.8979574981392209;0.3302944708821636;0.33160537269731993;0.1068713139360784;0.6879823158726718;0.29150865823406424;18.017893161093383;0.0026978849073003497;0.005708868099881018;7.205579973431494;0.002746354060234408;0.005122084223269401;0.01545567818625644;0.03232861323028004;0.08642443113807628;0.010904028361446494;0.001606407472799169;0.09012403412386555;7.336053898221243e-06;1.3869473531980865;0.015639557776422227;0.0;0.014050883661064828
0.027387568983527406;0.0009430850262218878;0.009652484205549258;0.0027469569296489993;0.0051185472822978155;0.01542176011717225;0.032214412960810256;1.546585924636771e-07;0.04463609244995286;0.09734724803694995;0.09173499271083757;0.424869112086473;0.0514346312672975;1.1549304807277687;0.35050958054639914;0.21771613329523043;0.3842219325799967;0.8978877596327015;0.33025399367790487;0.33162197667367016;0.10692325787245512;0.6881052527981887;0.2915863602821891;18.01805416500485;0.0026978849073003497;0.005708868099881018;7.205292055134515;0.0027346087442056185;0.005097554508639141;0.015349184081925331;0.032099279058897895;0.0864346928248387;0.01091255521211125;0.0016054411279165636;0.090129551582921;7.301989870285986e-06;1.3862699998768429;0.015692579157209063;0.0;0.014050883661064828
0.02719797235280461;0.0009396569522977746;0.009612907478970418;0.002735226017408391;0.005094069476640106;0.015315850666164928;0.03198816669183622;1.5382620172476946e-07;0.044627503374005194;0.09737381426853356;0.09173954440485484;0.4249493448315365;0.05126375159930263;1.1490909034987515;0.3492122938230353;0.21750347770681422;0.38476306062282023;0.897817601406648;0.3302134107596042;0.33163819198883154;0.10697480128349625;0.68822673457602;0.29166335182090775;18.018214630494978;0.0026978849073003497;0.005708868099881018;7.204735754140552;0.0027229148762618126;0.005073150425301779;0.015243681099018655;0.03187369537901652;0.08644586016953353;0.010927954099000034;0.0016035014660093412;0.0901360429388455;7.280344857302513e-06;1.3865991067755514;0.01569382683497736;0.0;0.014050883661064828
0.02701010686081266;0.0009362419940204617;0.009574744419010016;0.0027235539564414344;0.005069729609588253;0.015210965609878845;0.03176419564035998;1.5300031630376575e-07;0.04462715202979025;0.0973964555706262;0.09174409613481105;0.4250293127646615;0.051095664481115036;1.1432811334242006;0.3479198726964724;0.21729047108311964;0.38530086726822294;0.8977470251735574;0.330172726212907;0.331654020601634;0.10702594672416127;0.6883468480574031;0.29173963797805186;18.018374566361235;0.0026978849073003497;0.005708868099881018;7.204312371612871;0.0027112834482079192;0.005048890288700522;0.015139220691092628;0.031650415348871856;0.08645649694790729;0.010939958622718918;0.0016020457818784043;0.09014205035293264;7.226476011188352e-06;1.3818900164847572;0.015675224389692963;0.0;0.014050883661064828
0.026823950855585685;0.0009328401026973428;0.009537929706520093;0.0027119403766944507;0.0050455266720107715;0.015107089852049508;0.0315431488924418;1.5218101642005527e-07;0.04459097325906527;0.0974194773456004;0.0917486479910699;0.4251090202142109;0.05093032523433519;1.1375010242962706;0.3466323055742368;0.2170771271262447;0.38583537085431907;0.8976760326441684;0.33013194393685585;0.33166946446310025;0.10707669672840711;0.6884655695733267;0.29181522369657104;18.01853398126033;0.0026978849073003497;0.005708868099881018;7.203874265758171;0.002699709915448286;0.005024765991966898;0.0150357633026333;0.03143004676826864;0.0864671303130694;0.010952347032530993;0.001600538076122819;0.09014810991494708;7.211848083722171e-06;1.384786159728707;0.015732725317421484;3.863625389294322;0.01425611618429354
0.026639483104266778;0.0009294512460654587;0.009502401047053003;0.002700384917891388;0.005021459686446527;0.015004208707661901;0.031324847117905744;1.5136744974399528e-07;0.04452206556315346;0.09743869182917686;0.09175319982919843;0.425188471439284;0.05076768987959399;1.1317504305284525;0.34534958077381467;0.21686345930219672;0.3863665895976592;0.8976046255236688;0.330091067649831;0.3316845255113382;0.10712705380117317;0.6885829167277858;0.29189011400300313;18.018692883710482;0.0026978849073003497;0.005708868099881018;7.203564369808377;0.0026881979162309264;0.005000783346221329;0.014933317572426255;0.03121244785582993;0.08647724477043689;0.01096144705873997;0.0015994956533492983;0.09015370417584913;6.956337030526332e-06;1.3417582613190426;0.015291244486507864;0.0;0.01425611618429354
0.026456682683097282;0.000926075383040016;0.009468098944552176;0.0026888872007043763;0.0049975276137376335;0.01490230745723295;0.03110983064537695;1.5056137550904042e-07;0.04430465125641597;0.09746083795540925;0.09175775171661343;0.42526767063080256;0.05060771512590706;1.126029207154547;0.3440716865252005;0.21664948084463942;0.3868945416045732;0.8975328055136899;0.3300501009031373;0.3316992056803426;0.10717702043805201;0.6886988710218405;0.29196431319527166;18.018851282093518;0.0026978849073003497;0.005708868099881018;7.203152461718032;0.0026767406259110673;0.004976930370245709;0.014831831283920415;0.03099809735809618;0.08648766719225394;0.010973170763155307;0.0015980850115652626;0.09015966670504817;7.159859042533076e-06;1.3841864512273443;0.015780808969748154;30.954414652182166;0.015900388592725842
0.02627552909544049;0.0009227124861267936;0.009434966813972606;0.0026774469090736458;0.0049737296179087325;0.014801372565269947;0.030897430926804446;1.497608267882163e-07;0.04445047783994697;0.09748557741647022;0.091762303369251;0.42534662191257755;0.050450358362777226;1.120337209827553;0.3427986109733873;0.2164352047585728;0.3874192448597142;0.8974605743104831;0.3300090470742555;0.3317135068777445;0.10722659907363156;0.6888134742240981;0.29203782711977117;18.01900918465707;0.0026978849073003497;0.005708868099881018;7.202650699210125;0.002665338095095047;0.004953206857911061;0.014731293197654947;0.030786332666412116;0.086498362874984;0.010987214541486226;0.0015963510136861273;0.09016595235556486;7.120440130892717e-06;1.3820350133957986;0.015776440316797907;4.361401844304644;0.01613206258156576
